coupon,obs,jpm_latest,ct10_latest,ct7_latest,ct7_diff_latest,corr_ct10,corr_ct7,mae_ct10,mae_ct7,rmse_ct10,rmse_ct7,mean_diff_ct7
FN 3,748,-3.276081525303168,-2.5920919921622083,-1.3697780388178895,1.9063034864852786,0.972630585739236,0.8243479715935158,0.5742735140903952,1.6240747467573338,0.9114471215397806,2.1564891671526607,0.06528180396498216
FN 3.5,748,-4.5397788299536,-3.7917511570626505,-2.563797923656768,1.975980906296832,0.9670336530093219,0.833419971410959,0.5171365918617256,1.5607638396798145,0.9767161721270893,2.0746523933585626,0.08079284400908403
FN 4,748,-4.6414659589872,-3.991442321963012,-2.757849808495564,1.883616150491636,0.9775098029557342,0.8553188404546321,0.41651609069740014,1.4257543085928752,0.7708716309591769,1.8946262779524474,0.10337416872344359
FN 4.5,748,-3.672409835792288,-3.216263904413255,-1.9798517509150224,1.6925580848772654,0.9819887767846592,0.8606189581391128,0.38986775579624533,1.3053262271274124,0.6565064788493754,1.7493709411312455,0.14181985517036672
FN 5,748,-3.453891726550976,-3.0198530905087893,-1.8454730176877785,1.6084187088631974,0.9714523259832762,0.8492429696385576,0.4249269559112325,1.1424576557780306,0.7205834429141385,1.5595641842466978,0.19073898982891435
FN 5.5,748,-1.61491509606496,-1.0985886941541612,0.0109396579588469,1.625854754023807,0.9483685432648962,0.8269998337464236,0.4708123936819207,0.9576309177823158,0.8016922257168428,1.3635464865735303,0.22845840505975828
FN 6,748,1.4816949598659777,2.193615263455495,3.167800894090931,1.6861059342249531,0.9281759625854773,0.8329561129776833,0.45629214102092147,0.7586577528017419,0.8182130458320834,1.1602521842516527,0.22384499852022738
FN 6.5,748,2.160626013931504,3.3299561892724343,4.067292057322121,1.9066660433906173,0.8966308836888698,0.84363688879151,0.4500152526075795,0.630872061705332,0.9513977963412718,1.1131374471927091,0.17277031306616158
G2 3,748,-3.326591729950944,-2.6095617274310303,-1.473246795025588,1.8533449349253561,0.982811517372904,0.8616975006689999,0.49993610017191703,1.4808166979796986,0.7660167487500856,1.9422512657112545,0.05393651689679793
G2 3.5,748,-5.994104506788096,-5.04176715706261,-3.813813923656728,2.180290583131368,0.9653011686501933,0.8615531434644771,0.5297881680453023,1.4796107057349437,1.0079101962386932,1.9950844036361524,0.07981656805559213
G2 4,748,-4.03424203232848,-3.491442321963012,-2.257849808495564,1.7763922238329162,0.9856913159477128,0.8804789580729592,0.3686593754034625,1.3297339418700924,0.6403579367833893,1.7673893344323008,0.09909992100467083
G2 4.5,748,-5.905301696956608,-5.216295904413174,-3.979883750914942,1.9254179460416658,0.9844550685776642,0.8857645114455862,0.3652185384289329,1.2090957216619753,0.6234232545996127,1.619268527074146,0.12960400470885558
G2 5,748,-5.063625454127392,-4.499547199452994,-3.4069366875246825,1.6566887666027093,0.9630756819605721,0.8759620325587868,0.45651755372012576,1.0622547313785313,0.8336748064201434,1.4732861352436935,0.1696382071572503
G2 5.5,748,-3.302051457633536,-2.833187329592251,-1.8900177392954247,1.4120337183381113,0.943529560898374,0.8704498113627005,0.4997443174707794,0.8714931005136901,0.8694501901431217,1.2639119551379054,0.1948571494736624
G2 6,748,-1.0061002110846753,-0.4106949529486838,0.2716579345007401,1.2777581455854155,0.8956832473458536,0.8537185675866087,0.5304432083585285,0.7142117780421544,1.1153179405766867,1.2605610772386502,0.17058230734939442
G2 6.5,748,0.276395679302359,1.0702271362844646,1.6383846024871858,1.3619889231848268,0.9020788024608387,0.8787722152036319,0.5487370684046228,0.6531237267396245,1.103018242922271,1.1893203261793854,0.13386115764936568
